100 886
1 0 13
2 0 2
3 2 12
4 2 5
5 4 8
6 4 3
7 4 1
8 5 6
9 0 12
10 0 17
11 0 7
12 5 8
13 5 18
14 13 14
15 2 18
16 3 5
17 0 12
18 6 14
19 0 8
20 13 3
21 6 7
22 5 14
23 5 7
24 3 13
25 13 12
26 23 6
27 15 14
28 19 6
29 13 15
30 23 3
31 25 7
32 27 15
33 8 11
34 28 20
35 1 17
36 31 12
37 25 12
38 6 20
39 11 18
40 7 2
41 17 11
42 41 17
43 29 1
44 43 2
45 2 8
46 43 2
47 2 16
48 18 16
49 36 7
50 1 1
51 50 6
52 17 3
53 37 1
54 7 1
55 6 17
56 8 15
57 55 4
58 3 16
59 21 16
60 13 12
61 21 13
62 37 16
63 21 18
64 54 11
65 40 8
66 58 5
67 39 4
68 66 5
69 3 19
70 61 12
71 17 5
72 47 5
73 2 13
74 47 16
75 6 17
76 72 10
77 6 15
78 6 20
79 73 4
80 72 1
81 22 9
82 39 19
83 14 2
84 0 6
85 55 9
86 75 18
87 74 10
88 76 7
89 35 2
90 79 16
91 20 2
92 45 6
93 8 2
94 77 8
95 28 3
96 7 10
97 21 11
98 21 20
99 45 18
52 4 5
4 95 6
94 19 7
2 44 4
46 21 4
6 8 16
95 80 19
96 1 15
84 16 9
89 1 11
31 9 2
86 70 20
38 80 2
37 89 1
95 6 17
22 1 5
4 61 2
60 46 14
62 82 11
50 7 13
32 64 18
49 4 4
75 56 16
18 12 20
55 38 6
26 93 18
85 15 11
73 58 2
63 36 4
99 3 8
5 36 11
49 72 11
29 86 14
88 54 15
7 98 3
53 15 19
19 39 11
74 17 8
35 30 16
97 39 10
40 82 12
80 60 1
42 4 16
32 34 3
14 85 18
62 26 1
1 67 7
11 54 16
78 92 13
28 4 2
51 99 17
80 49 6
41 58 17
82 19 1
82 24 5
95 22 20
53 13 11
56 43 8
29 91 10
60 16 20
58 84 12
86 1 13
38 67 8
94 69 14
88 55 3
15 43 20
92 32 17
81 43 11
98 44 17
56 85 19
58 30 19
45 44 4
71 93 3
33 10 2
15 45 11
50 20 15
45 66 3
51 8 1
91 21 20
78 35 1
68 89 17
70 45 2
16 45 20
16 8 8
51 49 5
34 45 20
23 67 14
40 1 1
88 44 18
88 70 14
62 7 16
45 63 19
2 41 4
3 6 4
38 60 9
27 43 16
73 75 19
56 0 8
84 94 1
64 63 18
77 10 2
83 9 17
59 36 4
34 27 16
46 39 18
33 78 18
39 36 7
80 64 3
78 94 13
42 38 9
64 20 7
3 25 3
62 30 17
77 8 16
54 96 7
93 82 2
55 5 8
48 3 20
41 13 14
75 64 8
62 70 8
60 41 1
28 57 15
97 54 14
64 34 17
91 45 16
29 42 4
72 96 7
98 38 12
33 22 13
81 29 17
16 50 7
78 53 20
46 89 5
4 58 16
41 40 1
87 81 13
17 57 4
9 13 17
68 9 8
93 58 3
57 79 9
58 50 8
89 57 16
40 2 4
38 88 2
35 45 13
98 57 3
44 95 6
77 21 2
60 50 6
11 12 14
19 23 3
20 46 19
53 9 9
30 41 11
96 75 19
71 34 13
69 80 9
29 95 6
82 95 15
17 60 2
69 17 15
64 4 20
17 80 16
55 10 16
93 32 15
28 39 14
32 88 20
32 68 2
27 63 19
17 81 19
68 54 20
74 8 18
16 27 20
75 11 20
0 62 19
10 94 12
38 1 9
58 15 5
99 2 16
37 92 16
84 4 1
42 99 12
93 29 6
54 8 14
34 98 20
41 66 7
98 10 7
38 63 12
34 77 20
20 54 9
96 44 15
21 4 2
21 28 19
89 83 19
98 24 20
68 87 17
11 32 16
80 99 16
16 78 9
65 61 4
93 4 5
39 30 11
16 56 18
13 2 2
63 22 5
77 91 7
61 5 15
75 60 19
50 56 20
88 24 8
0 90 3
59 12 3
3 23 13
57 94 14
25 73 8
40 61 17
87 64 14
26 52 8
